GeneSymbol_EnsemblGeneID,alpha7G_Control_Male,alpha7G_Smoked_Male,alpha7E260A:G_Control_Male,alpha7E260A:G_Smoked_Male,alpha7G_C_Female,alpha7G_Smoked_Female,alpha7E260A:G_C_Female,alpha7E260A:G_Smoked_Female
1700001G17Rik_ENSMUSG00000044744.5,0,3,2,2,0,1,9,3
1700001J11Rik_ENSMUSG00000066639.5,0,0,0,0,0,0,1,0
1700001K19Rik_ENSMUSG00000056508.5,0,0,1,0,0,0,0,0
1700001L05Rik_ENSMUSG00000075511.1,0,0,2,0,0,0,0,0
1700001L19Rik_ENSMUSG00000021534.7,126,221,64,89,183,161,168,129
1700001O22Rik_ENSMUSG00000044320.8,14,9,12,11,6,11,0,13
1700001P01Rik_ENSMUSG00000018543.8,0,0,3,1,3,3,0,3
1700003E16Rik_ENSMUSG00000030030.4,165,156,159,144,324,237,171,160
1700003E24Rik_ENSMUSG00000067647.3,0,0,0,0,0,0,0,0
1700003F12Rik_ENSMUSG00000038523.4,1,14,2,8,2,5,4,9
1700003H04Rik_ENSMUSG00000039174.7,0,0,0,0,0,0,0,0
1700003M02Rik_ENSMUSG00000028294.8,676,673,558,778,1370,716,465,582
1700006A11Rik_ENSMUSG00000027973.6,0,0,0,0,0,0,0,0
1700006E09Rik_ENSMUSG00000010841.6,0,0,0,0,0,2,0,0
1700007B14Rik_ENSMUSG00000031620.9,0,0,0,0,0,0,0,0
1700007G11Rik_ENSMUSG00000057816.3,136,308,119,172,312,289,328,264
1700007I08Rik_ENSMUSG00000078129.1,0,0,0,0,0,0,0,0
1700007K09Rik_ENSMUSG00000030858.8,0,0,0,0,0,0,0,0
1700007K13Rik_ENSMUSG00000026831.9,394,692,565,444,847,721,509,578
1700008A04Rik_ENSMUSG00000020270.3,0,0,0,0,0,0,0,0
1700008F21Rik_ENSMUSG00000056018.7,0,0,0,1,0,0,0,0
1700008I05Rik_ENSMUSG00000058252.6,0,4,0,0,0,1,0,0
1700008O03Rik_ENSMUSG00000008028.8,0,5,1,6,4,4,0,1
1700008P02Rik_ENSMUSG00000069118.2,0,0,0,0,0,0,0,0
1700008P20Rik_ENSMUSG00000055826.4,0,0,0,0,0,3,11,5
1700009N14Rik_ENSMUSG00000028287.4,0,0,0,0,0,2,0,0
1700009P17Rik_ENSMUSG00000026649.8,578,1635,640,879,1275,1252,1238,1480
1700010B08Rik_ENSMUSG00000057047.5,0,0,0,0,0,0,0,0
1700010D01Rik_ENSMUSG00000071721.3,0,0,0,0,0,0,0,0
1700010H22Rik_ENSMUSG00000067101.4,0,0,0,0,0,0,0,0
1700010I14Rik_ENSMUSG00000023873.6,41,26,34,38,43,29,22,35
1700010L04Rik_ENSMUSG00000030636.8,0,0,0,0,0,0,0,0
1700010M22Rik_ENSMUSG00000027431.3,0,0,0,0,0,0,0,0
1700011A15Rik_ENSMUSG00000063971.6,1,2,0,0,0,0,9,2
1700011E24Rik_ENSMUSG00000036557.2,0,0,0,0,0,0,0,0
1700011F03Rik_ENSMUSG00000051896.4,0,0,0,0,0,0,0,0
1700011F14Rik_ENSMUSG00000025090.7,0,0,0,0,0,0,0,0
1700011H14Rik_ENSMUSG00000021850.7,0,0,0,0,0,4,6,1
1700011I03Rik_ENSMUSG00000058925.4,1,0,0,0,3,1,8,7
1700011L22Rik_ENSMUSG00000031682.4,0,0,0,0,0,0,0,0
1700011M02Rik_ENSMUSG00000079476.1,0,0,0,0,0,0,0,0
1700012A03Rik_ENSMUSG00000029766.4,0,0,0,0,0,0,0,0
1700012A16Rik_ENSMUSG00000042708.6,29,36,31,27,12,13,21,36
1700012B07Rik_ENSMUSG00000020617.6,1,3,0,0,6,6,12,1
1700012B09Rik_ENSMUSG00000031927.3,34,71,11,15,81,56,29,18
1700012B15Rik_ENSMUSG00000079179.2,39,46,41,46,47,47,53,38
1700012L04Rik_ENSMUSG00000078347.2,3,0,1,0,0,0,0,0
1700012P22Rik_ENSMUSG00000028589.2,0,0,0,0,9,0,0,0
1700013D24Rik_ENSMUSG00000079346.2,0,0,2,0,0,0,0,0
1700013F07Rik_ENSMUSG00000027886.7,103,154,74,132,233,207,212,189
1700013G24Rik_ENSMUSG00000041399.3,0,0,0,0,0,0,0,0
1700013H16Rik_ENSMUSG00000054727.2,0,0,1,1,0,0,0,0
1700013N18Rik_ENSMUSG00000063447.6,0,0,0,0,0,6,0,0
1700014D04Rik_ENSMUSG00000051054.2,0,0,0,0,0,0,3,0
1700014N06Rik_ENSMUSG00000048155.3,0,0,0,0,0,0,0,0
1700015E13Rik_ENSMUSG00000042800.4,0,0,0,0,0,0,0,0
1700015F17Rik_ENSMUSG00000079666.2,0,0,0,0,5,0,0,0
1700016C15Rik_ENSMUSG00000015962.5,6,41,4,5,2,11,7,15
1700016D06Rik_ENSMUSG00000031509.4,0,0,0,0,0,0,0,0
1700016H13Rik_ENSMUSG00000029320.5,2,0,0,0,0,0,0,0
