GeneSymbol_EnsemblGeneID,alpha7G_Control_Male,alpha7G_Smoked_Male,alpha7E260A:G_Control_Male,alpha7E260A:G_Smoked_Male,alpha7G_C_Female,alpha7G_Smoked_Female,alpha7E260A:G_C_Female,alpha7E260A:G_Smoked_Female
Gm5591_ENSMUSG00000060565.5,0,0,0,0,0,0,0,0
Gm5592_ENSMUSG00000072259.2,0,0,0,0,0,0,0,0
Gm5595_ENSMUSG00000069727.4,36,15,21,32,18,18,8,18
Gm5600_ENSMUSG00000073862.3,0,0,0,0,0,0,0,0
Gm5607_ENSMUSG00000047935.9,0,0,0,0,0,0,0,0
Gm5611_ENSMUSG00000090602.1,1,2,0,3,2,5,6,5
Gm5614_ENSMUSG00000066771.2,0,2,0,0,0,2,1,1
Gm5615_ENSMUSG00000074448.1,0,0,0,0,0,0,0,0
Gm5616_ENSMUSG00000063543.4,0,0,0,0,0,0,0,0
Gm5617_ENSMUSG00000042293.7,64,153,75,86,85,128,234,135
Gm5619_ENSMUSG00000062358.4,1,5,0,0,0,7,4,2
Gm561_ENSMUSG00000074754.4,81,232,77,106,163,199,388,165
Gm5622_ENSMUSG00000079244.3,0,0,0,0,0,0,0,0
Gm5623_ENSMUSG00000067351.1,0,0,1,0,0,1,0,1
Gm5624_ENSMUSG00000092165.1,0,0,0,0,0,0,0,0
Gm5634_ENSMUSG00000078208.1,0,0,0,0,0,0,0,0
Gm5635_ENSMUSG00000072249.2,0,0,0,0,0,0,0,0
Gm5640_ENSMUSG00000079534.1,1,0,1,0,0,0,0,1
Gm5647_ENSMUSG00000072888.2,0,0,0,0,0,0,0,0
Gm5662_ENSMUSG00000072905.4,0,0,0,0,0,0,0,0
Gm5670_ENSMUSG00000059827.5,0,0,0,0,0,0,0,2
Gm5689_ENSMUSG00000034339.7,0,0,0,0,0,0,0,0
Gm5698_ENSMUSG00000086151.1,0,0,0,0,0,0,0,0
Gm5699_ENSMUSG00000087346.1,0,0,0,0,0,0,0,0
Gm5705_ENSMUSG00000091743.1,0,0,0,0,0,0,0,0
Gm5724_ENSMUSG00000084927.1,0,0,0,0,0,0,0,0
Gm5725_ENSMUSG00000078405.1,0,0,0,0,0,0,0,0
Gm5726_ENSMUSG00000092453.1,0,0,0,0,0,0,0,0
Gm5728_ENSMUSG00000078419.2,0,0,0,0,0,0,0,0
Gm572_ENSMUSG00000070577.5,0,0,0,1,0,0,0,0
Gm5745_ENSMUSG00000066478.1,1,0,0,0,0,0,0,0
Gm5751_ENSMUSG00000079697.1,0,0,0,0,0,0,0,0
Gm5770_ENSMUSG00000076840.2,8,4,3,2,17,23,22,2
Gm5771_ENSMUSG00000058119.5,0,0,0,0,0,0,0,0
Gm5773_ENSMUSG00000068879.2,0,0,0,0,0,0,0,0
Gm5784_ENSMUSG00000073187.1,1,0,0,0,0,1,0,0
Gm5795_ENSMUSG00000079409.2,0,0,0,0,0,0,0,0
Gm5796_ENSMUSG00000079396.2,0,0,0,0,0,0,0,0
Gm5797_ENSMUSG00000072726.3,0,0,0,0,0,0,0,0
Gm5798_ENSMUSG00000090345.1,0,0,0,0,0,0,0,0
Gm5799_ENSMUSG00000091477.1,0,0,0,0,0,0,0,0
Gm5800_ENSMUSG00000068506.3,0,0,0,0,0,0,0,0
Gm5805_ENSMUSG00000061848.4,2,9,1,5,7,6,8,13
Gm5806_ENSMUSG00000047347.6,1,0,0,0,0,0,0,0
Gm5819_ENSMUSG00000092097.1,0,0,0,0,1,0,0,0
Gm5830_ENSMUSG00000072978.2,0,0,0,0,6,0,0,0
Gm5848_ENSMUSG00000068979.1,0,0,0,0,2,1,0,1
Gm5852_ENSMUSG00000064290.2,0,0,0,0,0,0,0,0
Gm5861_ENSMUSG00000091920.1,0,0,0,0,0,0,0,0
Gm5862_ENSMUSG00000067700.5,0,0,0,0,0,0,0,0
Gm5868_ENSMUSG00000060204.4,0,0,0,0,0,0,0,0
Gm5878_ENSMUSG00000072952.5,0,0,0,0,0,0,0,0
Gm5879_ENSMUSG00000068262.2,1,1,2,0,0,3,3,2
Gm5884_ENSMUSG00000037827.3,0,0,4,2,3,0,5,2
Gm5887_ENSMUSG00000072662.2,1,0,1,0,4,0,0,0
Gm5890_ENSMUSG00000078792.2,0,0,0,0,0,0,0,0
Gm5891_ENSMUSG00000091765.1,0,0,0,0,0,0,0,0
Gm5895_ENSMUSG00000090937.1,0,0,0,0,0,0,0,0
Gm5897_ENSMUSG00000074118.1,0,0,0,0,0,0,0,1
Gm5900_ENSMUSG00000059039.1,2,1,0,10,3,3,16,20
Gm5901_ENSMUSG00000078611.2,0,0,0,0,0,0,0,0
Gm5908_ENSMUSG00000065950.1,2,3,0,1,3,2,4,1
Gm5916_ENSMUSG00000091411.1,0,0,0,0,0,0,0,0
Gm5919_ENSMUSG00000090522.1,0,0,0,0,0,0,0,0
Gm5921_ENSMUSG00000074034.1,2,6,1,7,2,5,5,10
Gm5926_ENSMUSG00000078331.1,0,0,0,0,0,0,0,0
Gm5930_ENSMUSG00000079267.2,0,5,0,0,1,0,0,0
Gm5934_ENSMUSG00000084063.1,0,0,0,0,0,0,0,0
Gm5935_ENSMUSG00000073267.4,0,0,0,0,0,0,0,0
Gm5936_ENSMUSG00000079531.1,0,0,0,0,0,0,0,0
Gm5938_ENSMUSG00000079521.2,0,0,0,0,0,0,0,0
Gm5941_ENSMUSG00000071726.2,0,0,0,0,0,0,0,0
Gm5959_ENSMUSG00000061490.4,0,0,0,0,0,0,0,0
Gm595_ENSMUSG00000079606.1,1,0,0,0,3,2,0,0
Gm5965_ENSMUSG00000009047.3,0,0,0,0,0,0,0,0
Gm597_ENSMUSG00000048411.3,0,0,0,0,0,0,0,0
Gm6003_ENSMUSG00000062536.2,0,0,0,0,0,0,0,0
Gm600_ENSMUSG00000061356.6,16,0,11,2,6,21,70,9
Gm6020_ENSMUSG00000069475.1,5,0,7,4,3,6,0,4
Gm6026_ENSMUSG00000091571.1,0,0,0,0,0,0,0,0
Gm6034_ENSMUSG00000073407.1,0,0,1,1,0,1,0,0
Gm6040_ENSMUSG00000071165.3,0,0,0,0,0,0,0,0
Gm6055_ENSMUSG00000062081.3,5,6,1,3,0,2,14,4
Gm606_ENSMUSG00000068428.5,19,9,8,21,38,7,5,6
Gm6084_ENSMUSG00000073396.4,0,0,0,0,0,0,0,0
Gm6086_ENSMUSG00000073608.3,0,0,0,0,0,0,0,0
Gm608_ENSMUSG00000068284.7,455,137,709,354,280,136,184,194
Gm6096_ENSMUSG00000078380.1,0,1,0,0,0,1,4,1
Gm609_ENSMUSG00000053182.9,0,0,0,0,0,0,0,0
Gm6104_ENSMUSG00000062588.3,1,0,0,0,0,0,0,0
Gm6121_ENSMUSG00000080725.2,0,0,0,0,0,0,0,0
Gm6132_ENSMUSG00000069200.2,2,2,3,5,2,1,10,4
Gm6133_ENSMUSG00000090451.1,0,2,1,1,0,2,4,3
Gm6139_ENSMUSG00000057244.4,2,4,0,0,0,1,4,1
Gm614_ENSMUSG00000090141.1,2,0,2,0,0,0,0,0
Gm6158_ENSMUSG00000090381.1,0,0,4,1,4,0,0,2
Gm6164_ENSMUSG00000091161.1,0,0,0,0,0,0,0,0
Gm6169_ENSMUSG00000057762.3,1,3,2,1,0,2,2,5
Gm6176_ENSMUSG00000074312.2,0,0,0,0,0,0,0,0
Gm6177_ENSMUSG00000057499.3,3,4,0,2,3,5,5,1
Gm6180_ENSMUSG00000053038.6,19,24,13,23,25,32,26,31
Gm6189_ENSMUSG00000090637.1,7,5,3,2,7,7,0,10
Gm6190_ENSMUSG00000091139.1,0,0,0,0,1,0,0,0
Gm6205_ENSMUSG00000074007.2,0,0,0,0,0,0,0,0
Gm6219_ENSMUSG00000071244.1,0,0,0,0,0,0,0,0
Gm6268_ENSMUSG00000079642.1,0,0,0,0,0,0,0,0
Gm626_ENSMUSG00000067023.2,58,12,59,37,78,33,35,15
Gm6280_ENSMUSG00000060796.1,0,0,0,0,0,0,0,0
Gm6289_ENSMUSG00000074196.4,0,0,0,0,0,0,0,0
Gm628_ENSMUSG00000072487.4,0,0,0,0,0,0,0,0
Gm6309_ENSMUSG00000079096.3,0,2,4,4,1,0,0,0
Gm6316_ENSMUSG00000078370.1,3,1,3,2,2,8,9,9
Gm6320_ENSMUSG00000074651.2,3,2,6,0,4,0,1,2
Gm6327_ENSMUSG00000091416.1,0,0,0,0,0,0,0,0
Gm6337_ENSMUSG00000091882.1,0,0,0,0,0,0,0,0
Gm6346_ENSMUSG00000091252.1,0,0,0,0,0,0,0,0
Gm6351_ENSMUSG00000072821.4,0,0,0,0,0,0,0,0
Gm6356_ENSMUSG00000091400.1,0,0,0,0,0,0,0,0
Gm6358_ENSMUSG00000068071.1,0,0,0,0,0,0,0,0
Gm6367_ENSMUSG00000072820.2,0,0,0,0,0,0,0,0
Gm6370_ENSMUSG00000079094.1,0,0,0,0,0,0,0,0
Gm6377_ENSMUSG00000048621.3,248,154,131,120,156,145,188,188
Gm6396_ENSMUSG00000066955.5,0,0,0,0,0,0,0,0
Gm6401_ENSMUSG00000090752.1,0,0,0,0,0,0,0,0
Gm6404_ENSMUSG00000061669.5,33,115,27,39,42,75,114,77
Gm6406_ENSMUSG00000063058.1,0,0,0,0,0,0,0,0
Gm6420_ENSMUSG00000073729.1,0,0,0,0,0,0,0,0
Gm6434_ENSMUSG00000091233.1,0,0,0,0,0,0,0,0
Gm6455_ENSMUSG00000070940.4,0,0,0,0,0,0,0,0
Gm6457_ENSMUSG00000053740.6,0,0,0,0,1,1,1,1
Gm6460_ENSMUSG00000067848.5,0,0,0,0,0,0,0,0
Gm6465_ENSMUSG00000091533.1,0,0,0,0,0,0,0,0
Gm6468_ENSMUSG00000072816.1,0,0,0,0,0,0,0,0
Gm6471_ENSMUSG00000073781.3,1,0,0,0,6,2,0,2
Gm6482_ENSMUSG00000092142.1,0,0,0,0,0,0,0,0
Gm6483_ENSMUSG00000087153.1,24,12,20,15,21,5,7,16
Gm6484_ENSMUSG00000047822.7,7,5,3,6,4,15,0,4
Gm648_ENSMUSG00000064016.4,1,0,0,0,0,0,0,0
Gm6494_ENSMUSG00000091526.1,0,0,0,0,0,0,0,0
Gm6498_ENSMUSG00000063885.2,1,0,4,0,2,2,1,3
Gm6502_ENSMUSG00000073498.3,0,0,0,0,0,0,0,0
Gm6505_ENSMUSG00000070522.2,0,0,0,0,1,0,0,2
Gm6509_ENSMUSG00000074008.3,0,0,0,0,0,0,0,0
Gm6526_ENSMUSG00000091698.1,0,0,0,0,0,0,0,0
Gm6531_ENSMUSG00000062687.5,0,0,0,0,0,0,0,0
Gm6543_ENSMUSG00000054284.7,3,6,3,9,3,8,6,16
Gm6553_ENSMUSG00000091824.1,0,0,0,0,0,0,0,0
Gm6557_ENSMUSG00000068492.3,0,0,0,0,0,0,0,0
Gm6569_ENSMUSG00000086361.1,0,0,0,0,0,0,0,0
Gm6570_ENSMUSG00000060209.4,0,8,2,2,3,9,11,5
Gm6576_ENSMUSG00000090544.1,1,5,4,0,2,9,16,4
Gm6578_ENSMUSG00000057223.5,0,0,1,0,0,0,0,0
Gm6583_ENSMUSG00000051503.2,17,2,9,2,0,4,6,2
Gm6588_ENSMUSG00000072722.2,0,0,0,0,0,0,0,0
Gm6592_ENSMUSG00000079699.2,0,0,0,0,0,0,0,0
Gm6604_ENSMUSG00000071701.4,0,0,0,0,0,0,0,0
Gm6613_ENSMUSG00000063986.6,0,1,0,0,0,0,1,0
Gm6614_ENSMUSG00000079263.1,0,0,0,0,0,0,0,0
Gm6616_ENSMUSG00000072585.2,0,0,1,0,0,0,1,1
Gm6619_ENSMUSG00000089777.1,0,0,0,0,0,0,0,0
Gm6635_ENSMUSG00000058607.4,5,33,2,2,1,5,5,13
Gm6657_ENSMUSG00000091868.1,0,0,0,0,0,0,0,0
Gm6658_ENSMUSG00000074171.1,0,1,1,2,0,0,0,1
Gm6662_ENSMUSG00000078759.3,0,0,0,0,0,0,0,0
Gm6665_ENSMUSG00000091561.1,0,2,0,0,1,2,2,0
Gm6666_ENSMUSG00000078383.1,0,0,0,0,0,0,0,0
Gm6669_ENSMUSG00000090339.1,0,0,1,0,0,0,0,0
Gm6676_ENSMUSG00000072729.3,0,0,0,0,0,0,0,0
Gm6685_ENSMUSG00000032889.5,0,0,5,10,0,0,0,5
Gm6696_ENSMUSG00000074434.3,0,0,0,0,0,0,0,0
Gm6710_ENSMUSG00000078887.3,0,0,0,0,0,0,0,0
Gm6712_ENSMUSG00000072761.3,38,47,24,29,12,20,29,24
Gm6713_ENSMUSG00000090414.1,0,0,0,0,0,0,0,0
Gm6721_ENSMUSG00000090676.1,0,0,0,0,0,0,0,0
Gm6723_ENSMUSG00000068226.1,4,2,0,1,0,1,3,9
Gm6724_ENSMUSG00000090620.1,0,0,0,0,0,0,0,0
Gm6728_ENSMUSG00000091408.1,0,0,2,1,0,0,0,2
Gm6729_ENSMUSG00000090816.1,0,0,0,0,0,0,0,0
Gm6736_ENSMUSG00000071414.3,1,0,0,0,0,1,0,0
Gm6741_ENSMUSG00000043346.7,0,0,0,0,1,0,0,0
Gm6756_ENSMUSG00000063514.1,0,0,0,0,1,0,0,0
Gm6760_ENSMUSG00000079579.2,0,0,0,0,13,0,0,0
Gm6763_ENSMUSG00000091779.1,0,0,0,0,0,0,0,0
Gm6772_ENSMUSG00000059114.6,0,0,0,0,0,0,0,0
Gm6788_ENSMUSG00000090737.1,0,2,0,0,1,0,1,1
Gm6792_ENSMUSG00000053367.8,1,1,1,0,17,0,9,0
Gm6793_ENSMUSG00000092086.1,2,1,0,2,3,2,8,3
Gm6802_ENSMUSG00000059229.6,0,0,0,0,0,0,0,0
Gm6803_ENSMUSG00000090529.1,1,0,0,0,0,0,0,0
Gm6804_ENSMUSG00000092138.1,0,0,0,0,0,0,0,0
Gm6807_ENSMUSG00000057605.4,4,4,1,1,6,2,3,4
Gm6811_ENSMUSG00000091550.1,0,0,0,0,0,0,0,0
Gm6812_ENSMUSG00000056815.1,0,0,0,0,0,0,0,0
Gm6816_ENSMUSG00000046411.2,0,0,0,0,1,0,0,0
Gm6821_ENSMUSG00000078691.2,0,0,0,0,0,0,0,0
Gm6843_ENSMUSG00000074780.1,0,0,0,0,0,0,0,0
Gm684_ENSMUSG00000079559.2,20,27,23,31,16,33,47,60
Gm6871_ENSMUSG00000090744.1,1,0,3,3,0,0,0,0
Gm6878_ENSMUSG00000075549.2,0,0,0,0,0,0,0,0
Gm6880_ENSMUSG00000079536.1,0,0,0,0,0,0,0,0
Gm6882_ENSMUSG00000090376.1,0,0,0,0,0,0,0,0
Gm6890_ENSMUSG00000079532.1,0,0,0,0,0,0,0,0
Gm6899_ENSMUSG00000068314.4,0,0,0,1,0,0,0,0
Gm6900_ENSMUSG00000091026.1,1,2,1,3,1,2,1,2
Gm6901_ENSMUSG00000074843.1,0,0,0,0,0,0,0,0
Gm6902_ENSMUSG00000074295.2,0,0,0,0,0,0,0,0
Gm6904_ENSMUSG00000090881.1,4,16,1,2,8,3,0,0
Gm6905_ENSMUSG00000090938.1,0,4,1,3,0,1,1,1
Gm6907_ENSMUSG00000091144.1,77,60,29,47,81,53,32,56
Gm694_ENSMUSG00000070637.2,0,0,0,0,0,0,0,0
Gm6970_ENSMUSG00000091230.1,24,16,6,16,18,8,7,7
Gm6981_ENSMUSG00000079558.2,8,13,7,8,2,12,2,13
Gm6984_ENSMUSG00000057886.3,0,0,0,0,0,0,0,0
Gm6990_ENSMUSG00000067063.1,0,0,0,0,0,0,0,0
Gm6994_ENSMUSG00000067973.5,0,0,0,0,0,0,0,0
Gm6996_ENSMUSG00000092112.1,0,0,0,0,0,0,0,0
Gm7005_ENSMUSG00000076661.1,0,0,0,0,0,0,0,0
Gm7008_ENSMUSG00000035983.4,0,0,0,1,0,0,0,0
Gm7030_ENSMUSG00000072377.4,0,0,0,0,0,0,0,0
Gm7052_ENSMUSG00000092147.1,0,0,0,0,0,0,0,0
Gm7073_ENSMUSG00000079583.2,0,0,0,0,0,0,0,0
Gm7075_ENSMUSG00000048185.4,1,0,0,0,0,0,0,0
Gm7084_ENSMUSG00000090838.1,0,0,0,0,0,0,0,0
Gm7092_ENSMUSG00000074261.1,0,0,0,0,0,0,0,0
Gm70_ENSMUSG00000052221.7,254,468,215,349,660,457,298,479
Gm7112_ENSMUSG00000076670.2,18,2,15,18,27,9,116,22
Gm711_ENSMUSG00000049897.8,7,8,13,15,9,12,11,10
Gm7120_ENSMUSG00000074634.3,57,40,24,47,66,33,36,37
Gm7124_ENSMUSG00000076761.1,6,0,1,1,1,0,2,4
Gm7137_ENSMUSG00000090579.1,0,0,0,0,0,0,0,0
Gm7138_ENSMUSG00000091503.1,0,0,0,0,0,0,0,0
Gm7147_ENSMUSG00000091362.1,0,0,0,0,0,0,0,0
Gm7157_ENSMUSG00000091863.1,0,0,0,0,0,0,0,0
Gm7168_ENSMUSG00000067941.5,0,0,0,0,0,0,0,0
Gm7173_ENSMUSG00000073077.2,29,19,24,25,47,7,11,12
Gm7175_ENSMUSG00000076673.1,67,71,86,40,58,59,387,39
Gm7204_ENSMUSG00000048164.7,8,8,5,7,7,10,21,22
Gm7205_ENSMUSG00000067313.4,0,0,0,0,0,0,0,0
Gm7221_ENSMUSG00000092335.1,5,3,1,7,6,4,0,4
Gm7233_ENSMUSG00000090837.1,0,0,0,0,0,0,0,0
Gm7247_ENSMUSG00000068399.4,0,0,0,0,0,0,0,0
Gm7251_ENSMUSG00000069236.3,2,9,4,12,11,8,19,8
Gm7257_ENSMUSG00000023093.7,0,0,0,0,0,0,0,0
Gm725_ENSMUSG00000091978.1,0,0,0,0,0,0,0,0
Gm7263_ENSMUSG00000056877.2,7,5,1,3,3,4,11,3
Gm7271_ENSMUSG00000091204.1,0,0,0,0,0,0,0,0
Gm7275_ENSMUSG00000067716.2,0,0,0,0,0,0,0,0
Gm7276_ENSMUSG00000073532.2,0,0,0,0,0,0,0,0
Gm7292_ENSMUSG00000072829.1,0,0,0,0,0,0,0,0
Gm7293_ENSMUSG00000078308.1,3,5,0,0,2,2,6,1
Gm7325_ENSMUSG00000079471.2,0,0,0,0,0,0,0,0
Gm732_ENSMUSG00000073006.2,0,0,0,0,0,0,0,0
Gm7334_ENSMUSG00000044645.6,1,0,0,0,0,0,0,0
Gm7337_ENSMUSG00000067156.3,0,0,0,0,0,0,0,0
Gm7347_ENSMUSG00000073117.2,0,0,0,0,0,0,0,0
Gm7349_ENSMUSG00000091349.1,0,0,0,0,0,0,0,0
Gm7353_ENSMUSG00000055452.5,6,0,6,1,1,2,0,6
Gm7354_ENSMUSG00000091173.1,0,0,0,0,0,0,0,0
Gm7356_ENSMUSG00000091677.1,0,0,0,0,0,0,0,0
Gm7358_ENSMUSG00000090562.1,0,0,0,0,0,0,0,0
Gm7360_ENSMUSG00000090390.1,0,0,0,0,0,0,0,0
Gm7361_ENSMUSG00000059645.6,0,0,0,0,0,0,0,0
Gm7367_ENSMUSG00000047370.4,1,1,0,0,1,0,0,1
Gm7381_ENSMUSG00000074485.1,0,4,0,2,0,0,0,0
Gm7461_ENSMUSG00000048484.4,1,0,1,0,0,0,0,0
Gm7489_ENSMUSG00000072584.2,0,0,0,0,0,0,0,0
Gm749_ENSMUSG00000024224.4,0,0,0,0,0,0,0,0
Gm7534_ENSMUSG00000073747.2,0,0,0,0,0,0,0,0
Gm7535_ENSMUSG00000090957.1,0,1,1,1,0,0,0,1
Gm7536_ENSMUSG00000057036.5,0,0,0,0,0,0,0,0
Gm7551_ENSMUSG00000068480.5,1,0,0,2,0,1,0,0
Gm7579_ENSMUSG00000073786.1,0,0,0,0,0,0,0,0
Gm757_ENSMUSG00000089953.2,0,0,0,0,0,0,0,0
Gm7589_ENSMUSG00000066592.2,3,6,3,11,3,10,9,4
Gm7647_ENSMUSG00000073510.1,0,0,0,0,0,0,0,0
Gm765_ENSMUSG00000090667.1,5,0,0,0,27,11,0,0
Gm7665_ENSMUSG00000063628.2,2,4,1,1,1,2,4,2
Gm766_ENSMUSG00000048473.9,0,0,0,0,0,0,0,0
Gm7676_ENSMUSG00000068631.6,0,2,2,1,0,2,1,2
Gm7682_ENSMUSG00000074011.3,0,0,0,0,0,0,0,0
Gm7694_ENSMUSG00000079188.2,15,11,9,10,16,10,0,4
Gm7697_ENSMUSG00000091848.1,0,0,0,0,0,0,0,0
Gm7713_ENSMUSG00000071750.1,2,1,1,0,0,0,1,0
Gm7714_ENSMUSG00000090302.1,0,0,0,0,0,0,0,0
Gm7732_ENSMUSG00000090898.1,0,0,0,0,0,0,0,0
Gm7735_ENSMUSG00000068068.1,0,0,0,0,0,0,0,0
Gm7736_ENSMUSG00000072211.3,0,0,0,0,0,0,0,0
Gm773_ENSMUSG00000073177.2,0,0,0,0,0,0,0,0
Gm7742_ENSMUSG00000090525.1,0,0,0,0,0,0,0,0
Gm7792_ENSMUSG00000072824.3,0,0,0,0,0,0,0,0
Gm7819_ENSMUSG00000078731.1,0,0,0,0,0,0,0,0
Gm7849_ENSMUSG00000079114.3,0,0,0,0,0,0,0,0
Gm7853_ENSMUSG00000072616.3,0,0,0,0,0,0,0,0
Gm7854_ENSMUSG00000085720.2,0,2,0,0,0,1,0,0
Gm7861_ENSMUSG00000079113.3,0,0,0,0,0,0,0,0
Gm7866_ENSMUSG00000061390.3,0,2,0,1,1,1,1,1
Gm7873_ENSMUSG00000090777.1,0,0,0,0,0,0,0,0
Gm7876_ENSMUSG00000091700.1,0,0,0,0,0,0,0,0
Gm7889_ENSMUSG00000091067.1,0,0,0,0,0,0,0,0
Gm7903_ENSMUSG00000067358.4,0,0,0,0,0,0,0,0
Gm7919_ENSMUSG00000092073.1,0,0,0,0,0,0,0,0
Gm7929_ENSMUSG00000091740.1,0,0,0,0,0,0,0,0
Gm7932_ENSMUSG00000073090.3,0,0,1,0,0,1,0,0
Gm7935_ENSMUSG00000075609.2,0,0,0,0,2,1,1,0
Gm7942_ENSMUSG00000092166.1,0,0,0,0,0,0,0,0
Gm7945_ENSMUSG00000091131.1,0,0,0,0,0,0,0,0
Gm7951_ENSMUSG00000091508.1,0,0,0,0,0,0,0,0
Gm7954_ENSMUSG00000091774.1,0,0,0,0,0,0,0,0
Gm7957_ENSMUSG00000090508.1,0,0,0,0,0,0,0,0
Gm7964_ENSMUSG00000063902.6,24,21,24,39,25,28,39,44
Gm7970_ENSMUSG00000090770.1,0,0,0,0,0,0,0,0
Gm7971_ENSMUSG00000079422.1,0,0,0,0,0,0,0,0
Gm7978_ENSMUSG00000072815.2,0,0,0,0,0,0,0,0
Gm7980_ENSMUSG00000090419.1,0,0,0,0,0,0,0,0
Gm7982_ENSMUSG00000072814.4,0,0,0,0,0,0,0,0
Gm7995_ENSMUSG00000072610.2,0,0,0,0,0,0,0,0
Gm8005_ENSMUSG00000092148.1,0,0,0,0,0,0,0,0
Gm8011_ENSMUSG00000091203.1,0,0,0,0,0,0,0,0
Gm8020_ENSMUSG00000090690.1,0,0,0,0,0,0,0,0
Gm8024_ENSMUSG00000091851.1,0,0,0,0,0,0,0,0
Gm8038_ENSMUSG00000091981.1,0,0,0,0,0,0,0,0
Gm8050_ENSMUSG00000091814.1,0,0,0,0,0,0,0,0
Gm8054_ENSMUSG00000069986.3,0,2,1,3,2,8,12,4
Gm8055_ENSMUSG00000075241.1,3,3,5,2,2,0,2,4
Gm8068_ENSMUSG00000090477.1,0,0,0,0,0,0,0,0
Gm806_ENSMUSG00000071909.2,0,0,0,0,0,0,0,0
Gm8074_ENSMUSG00000090802.1,0,1,0,0,0,0,0,0
Gm8082_ENSMUSG00000091187.1,0,0,0,0,0,0,0,0
Gm8094_ENSMUSG00000091733.1,0,0,0,0,0,0,0,0
Gm8104_ENSMUSG00000091341.1,0,0,0,0,0,0,0,0
Gm8108_ENSMUSG00000091563.1,0,0,0,0,0,0,0,0
Gm8112_ENSMUSG00000074859.2,0,0,0,0,0,0,0,0
Gm8113_ENSMUSG00000089901.1,43,18,64,23,37,40,46,23
Gm8122_ENSMUSG00000090337.1,0,0,0,0,0,0,0,0
Gm8123_ENSMUSG00000079621.1,0,0,0,0,0,0,0,0
Gm8126_ENSMUSG00000090634.1,1,0,0,0,0,0,0,0
Gm8127_ENSMUSG00000090713.1,0,0,0,0,0,0,0,0
Gm8137_ENSMUSG00000074857.2,0,0,0,0,0,0,0,0
Gm8138_ENSMUSG00000091029.1,0,0,0,0,0,0,0,0
Gm813_ENSMUSG00000075002.1,0,0,0,0,0,0,0,0
Gm8158_ENSMUSG00000074856.2,0,0,0,0,0,0,0,0
Gm8159_ENSMUSG00000090712.1,0,0,0,0,0,0,1,0
Gm815_ENSMUSG00000074913.2,0,0,0,0,0,0,0,0
Gm8165_ENSMUSG00000072744.3,0,0,0,0,0,0,0,0
Gm8180_ENSMUSG00000091584.1,0,0,0,0,0,0,0,0
Gm8181_ENSMUSG00000048188.4,0,1,0,2,2,0,0,0
Gm8206_ENSMUSG00000091568.1,0,0,0,0,0,0,0,0
Gm8212_ENSMUSG00000091783.1,0,0,0,0,0,0,0,0
Gm8214_ENSMUSG00000090533.1,0,0,0,0,0,0,0,0
Gm8220_ENSMUSG00000091725.1,0,0,0,0,0,0,0,0
Gm8221_ENSMUSG00000090792.1,0,0,1,1,0,1,4,3
Gm8223_ENSMUSG00000091482.1,0,0,0,0,0,0,0,0
Gm8225_ENSMUSG00000068604.4,2,1,0,1,1,3,0,4
Gm8226_ENSMUSG00000066452.4,0,0,0,0,0,0,1,1
Gm8229_ENSMUSG00000090379.1,0,0,0,0,0,0,0,0
Gm8232_ENSMUSG00000091569.1,0,0,0,0,0,0,0,0
Gm8237_ENSMUSG00000090707.1,0,0,0,3,0,0,0,0
Gm8246_ENSMUSG00000091126.1,0,0,0,0,0,0,0,0
Gm8247_ENSMUSG00000091122.1,0,0,0,0,0,0,0,0
Gm8251_ENSMUSG00000091844.1,9,1,2,2,0,0,0,0
Gm8257_ENSMUSG00000079265.2,0,0,0,0,0,0,0,0
Gm8258_ENSMUSG00000048334.6,0,0,0,0,0,0,0,2
Gm8264_ENSMUSG00000074858.2,0,0,0,0,0,0,0,0
Gm8265_ENSMUSG00000090547.1,0,0,0,0,0,0,0,0
Gm8267_ENSMUSG00000091923.1,0,0,0,0,0,0,0,0
Gm826_ENSMUSG00000074623.4,0,0,0,0,0,0,0,0
Gm8271_ENSMUSG00000079380.3,0,0,0,0,0,0,0,0
Gm8279_ENSMUSG00000079378.2,0,0,0,0,0,0,0,0
Gm8281_ENSMUSG00000090377.1,0,0,0,0,0,0,0,0
Gm8290_ENSMUSG00000074854.3,0,10,1,2,3,6,2,7
Gm8297_ENSMUSG00000090827.1,0,0,0,0,0,0,0,0
Gm8300_ENSMUSG00000079034.1,0,0,0,0,0,0,0,0
Gm8325_ENSMUSG00000027694.7,1,0,0,0,0,0,0,1
Gm8334_ENSMUSG00000079374.2,0,0,0,0,0,0,0,0
Gm8348_ENSMUSG00000079405.2,0,0,0,0,0,0,0,0
Gm8356_ENSMUSG00000090627.1,0,0,0,0,0,0,0,0
Gm8362_ENSMUSG00000090404.1,0,0,0,0,0,0,0,0
Gm8369_ENSMUSG00000058470.4,117,126,33,56,67,126,89,66
Gm8374_ENSMUSG00000091676.1,0,0,0,0,0,0,0,0
Gm8394_ENSMUSG00000050490.6,0,2,0,0,1,2,1,0
Gm839_ENSMUSG00000060416.2,0,0,0,0,0,0,0,0
Gm8420_ENSMUSG00000072324.3,4,0,0,0,0,2,2,0
Gm8439_ENSMUSG00000091297.1,0,0,0,0,0,0,0,0
Gm8444_ENSMUSG00000069439.2,4,0,0,3,0,6,4,1
Gm8453_ENSMUSG00000091261.1,0,0,0,0,0,0,0,0
